Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Reetinder Singh Sodhi,14,10,1,45,12,5,0,0,81.81,5,NA
Richard Ernst Levi,165,158,11,4140,117*,28.16,3,27,142.95,46,NA
Ricky Thomas Ponting,48,43,3,909,98*,22.72,0,5,110.98,17,NA
Rilee Roscoe Rossouw,86,84,6,2089,78,26.78,0,12,129.91,35,NA
Rishabh Rajendra Panth,10,10,2,198,69,24.75,0,1,130.26,3,NA
Rishi Dhawan,68,52,22,823,65*,27.43,0,2,110.17,17,NA
Robert John Quiney,71,65,3,1050,97,16.93,0,5,115.25,32,NA
Robin John Peterson,141,97,22,1231,72*,16.41,0,3,111.6,30,NA
Robin Venu Uthappa,198,192,20,5059,92,29.41,0,26,132.74,96,32
Roelof Erasmus van der Merwe,155,114,29,1726,89*,20.3,0,8,128.23,60,NA
Rohan Ravindra Raje,28,13,6,27,11*,3.85,0,0,96.42,14,NA
Rohan Sunil Gavaskar,10,8,1,113,47,16.14,0,0,99.12,1,NA
Rohit Gurunath Sharma,236,225,39,6209,109*,33.38,3,43,131.68,91,NA
Ronit Gajanan More,11,4,2,10,4,5,0,0,62.5,3,NA
Rudra Pratap Singh,132,50,25,108,18,4.32,0,0,72.97,42,NA
Rujul Haren Bhatt,35,29,8,390,44*,18.57,0,0,106.84,6,NA
Ryan James Harris,64,37,15,239,31,10.86,0,0,103.91,23,NA
Ryan McLaren,156,110,46,1267,51*,19.79,0,2,110.94,59,NA
Ryan Neil ten Doeschate,282,247,56,5605,121*,29.34,2,24,135.87,110,NA
Ryan Ninan,2,1,0,3,3,3,0,0,50,1,NA
Sachin Baby,51,38,4,667,48,19.61,0,0,130.78,18,NA
Sachin Ramesh Tendulkar,96,96,11,2797,100*,32.9,1,16,121.13,28,NA
Sachin Rana,42,38,9,654,62,22.55,0,2,111.41,20,NA
Sahibzada Mohammad Shahid Khan Afridi,224,198,26,3273,80,19.02,0,8,155.7,61,NA
Salman Butt,60,59,8,1687,99*,33.07,0,11,111.27,12,NA
Samuel Badree,148,42,31,140,29*,12.72,0,0,86.95,42,NA
Samuel William Billings,85,80,9,1415,61*,19.92,0,6,122.08,53,7
Sanath Teran Jayasuriya,111,109,7,2317,114*,22.71,1,12,140.08,21,NA
Sandeep Sharma,59,11,10,20,7,20,0,0,66.66,14,NA
Sanjay Bapusaheb Bangar,33,28,3,381,67,15.24,0,2,124.5,6,NA
Sanju Viswanath Samson,91,86,10,1937,87,25.48,0,13,118.32,55,6
Sarabjit Singh Ladda,13,3,1,5,5,2.5,0,0,41.66,1,NA
Sarfaraz Naushad Khan,24,18,8,248,45*,24.8,0,0,168.7,2,NA
Sarul Kanwar,18,18,1,400,53,23.52,0,1,128.2,6,NA
Saurabh Sunil Tiwary,119,102,27,2273,69,30.3,0,10,121.87,45,NA
Saurabh Sushant Bandekar,28,27,4,308,31*,13.39,0,0,103.7,5,NA
Sayed Iqbal Abdulla,81,28,16,165,33*,13.75,0,0,98.8,30,NA
Scott Bernard Styris,201,186,30,4020,106*,25.76,2,13,134.58,47,NA
Scott Michael Boland,18,5,4,17,8*,17,0,0,113.33,3,NA
Sean Anthony Abbott,44,31,7,229,39,9.54,0,0,98.7,23,NA
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,88,43,18,259,20,10.36,0,0,93.5,30,NA
Separamadu Lasith Malinga Swarnajith,221,66,24,287,37*,6.83,0,0,97.95,42,NA
Shadab Bashir Jakati,81,23,8,149,43,9.93,0,0,105.67,31,NA
Shahbaz Nadeem,83,32,11,186,36*,8.85,0,0,88.57,18,NA
Shakib Al Hasan,209,190,32,3293,86*,20.84,0,14,122.87,60,NA
Shalabh Jagdishprasad Srivastava,22,7,4,6,3*,2,0,0,85.71,6,NA
Shane Edward Bond,40,14,6,32,8*,4,0,0,103.22,9,NA
Shane Keith Warne,73,32,10,210,34*,9.54,0,0,92.1,18,NA
Shane Michael Harwood,40,14,8,101,20*,16.83,0,0,132.89,6,NA
Shane Robert Watson,207,200,24,5301,124*,30.11,3,32,139.72,65,NA
Shanthakumaran Sreesanth,60,20,12,73,19*,9.12,0,0,76.84,9,NA
Shardul Narendra Thakur,13,5,3,22,7*,11,0,0,104.76,4,NA
Shaun Edward Marsh,135,133,18,4703,115,40.89,2,36,129.2,51,NA
Shaun Maclean Pollock,46,34,7,569,59,21.07,0,1,141.89,9,NA
Shaun William Tait,167,53,25,163,26,5.82,0,0,81.09,24,NA
Shikhar Dhawan,160,159,19,4299,95*,30.7,0,32,119.38,62,NA
Shivam Sharma,8,4,1,17,12,5.66,0,0,94.44,4,NA
Shivil Kaushik,7,2,1,0,0*,0,0,0,0,0,NA
Shivnarine Chanderpaul,81,78,11,1576,87*,23.52,0,8,105.7,24,NA
Shoaib Akhtar,38,19,5,75,14,5.35,0,0,98.68,7,NA
Shoaib Malik,247,232,65,6338,95*,37.95,0,39,122.94,99,NA
Shoaib Shabbir Shaikh,18,17,1,405,110,25.31,1,2,121.25,6,NA
Shreevats Pratyush Goswami,57,50,3,895,52,19.04,0,1,94.3,22,7
Shreyas Santosh Iyer,35,35,2,796,86,24.12,0,6,127.36,16,NA
Shrikant Bhaskar Wagh,34,24,11,181,27*,13.92,0,0,102.84,11,NA
Shrikant Shrihari Mundhe,25,20,5,155,42,10.33,0,0,118.32,9,NA
Siddharth Dilip Chitnis,34,28,10,510,89*,28.33,0,1,153.15,9,NA
Siddharth Kaul,42,15,13,42,8*,21,0,0,105,9,NA
Siddharth Kishorkumar Trivedi,103,23,11,71,12,5.91,0,0,92.2,23,NA
Simon Mathew Katich,118,101,19,2483,75,30.28,0,10,126.55,47,NA
Sohail Tanvir,233,146,44,1661,60*,16.28,0,2,120.44,42,NA
Sourav Chandidas Ganguly,77,73,4,1726,91,25.01,0,8,107,28,NA
Sourav Subrata Sarkar,5,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Sreenath Aravind,59,16,12,58,14*,14.5,0,0,116,20,NA
Sridharan Sriram,15,14,3,233,39*,21.18,0,0,99.57,7,NA
Stephen Paul Fleming,53,53,3,1157,64*,23.14,0,6,121.91,13,NA
Steven Peter Devereux Smith,140,121,29,2652,101,28.82,1,8,126.04,80,NA
Stuart Terence Roger Binny,107,80,23,1136,49,19.92,0,0,127.49,27,NA
Subramaniam Badrinath,137,105,29,2132,71*,28.05,0,13,111.5,27,NA
Sudeep Tyagi,23,5,4,5,3*,5,0,0,71.42,5,NA
Sumit Narwal,33,21,8,277,42,21.3,0,0,162.94,9,NA
Sunil Bandacharya Joshi,15,9,5,78,32*,19.5,0,0,90.69,3,NA
Sunil Philip Narine,196,67,31,401,30,11.13,0,0,122.62,37,NA
Sunny Singh,33,32,6,599,74*,23.03,0,4,119.32,9,NA
Sunny Sohal,32,27,0,511,62,18.92,0,2,116.93,6,NA
Sunny Suresh Gupta,16,8,1,54,22,7.71,0,0,103.84,3,NA
Suresh Kumar Raina,242,228,37,6326,109*,33.12,3,36,139,124,NA
Suryakumar Ashok Yadav,80,66,21,1002,60,22.26,0,2,129.45,41,NA
Swapnil Ashok Asnodkar,63,63,3,1410,71*,23.5,0,11,121.55,21,NA
Swapnil Kamlesh Singh,25,17,8,134,28*,14.88,0,0,114.52,13,NA
Syed Mohammad Shoaib Ahmed,8,3,1,1,1*,0.5,0,0,16.66,4,NA
Tabraiz Shamsi,56,16,9,34,7,4.85,0,0,54.83,8,NA
Taduri Prakashchandra Sudhindra,27,15,9,75,13*,12.5,0,0,94.93,9,NA
Tanmay Manoj Srivastava,28,22,3,420,84*,22.1,0,2,113.82,9,NA
Tanmay Mishra,20,19,0,366,68,19.26,0,1,99.18,6,NA
Taruwar Kohli,26,23,9,141,22,10.07,0,0,70.85,10,NA
Tatenda Taibu,48,45,10,882,89,25.2,0,5,106.65,27,13
Tillakaratne Mudiyanselage Dilshan,221,217,25,5193,104*,27.04,1,34,122.79,79,3
Timil Kaushik Patel,6,4,2,11,8*,5.5,0,0,78.57,3,NA
Timothy David Paine,63,58,2,1341,87*,23.94,0,8,124.16,39,12
Timothy Grant Southee,120,57,14,441,74,10.25,0,1,147.98,48,NA
Tirumalasetti Laxminarayana Suman,75,72,9,1546,100,24.53,1,5,125.69,21,NA
Travis Michael Head,32,31,5,787,101*,30.26,1,4,148.49,9,NA
Travis Rodney Birt,109,105,9,2188,94*,22.79,0,9,129.08,41,NA
Trent Alexander Boult,52,14,7,29,5,4.14,0,0,61.7,24,NA
Tyron Henderson,84,74,10,1289,85,20.14,0,7,143.06,10,NA
Uday Kaul,9,3,2,13,9,13,0,0,130,3,NA
Udit Alok Birla,29,24,2,530,56,24.09,0,1,107.94,13,NA
Umar Gul,139,71,18,469,32,8.84,0,0,105.15,35,NA
Umeshkumar Tilak Yadav,97,28,16,117,24*,9.75,0,0,121.87,23,NA
Unmukt Chand,59,57,3,1188,125,22,3,2,118.8,38,1
Usman Tariq Khawaja,55,54,5,1565,109*,31.93,2,8,124.7,18,NA
Vangipurappu Venkata Sai Laxman,25,25,3,491,78*,22.31,0,3,114.71,4,NA
Varun Raymond Aaron,47,15,9,71,17*,11.83,0,0,87.65,2,NA
Veer Pratap Singh,14,2,0,1,1,0.5,0,0,33.33,3,NA
Vidyut Sivaramakrishnan,25,21,1,410,54,20.5,0,1,129.74,5,NA
Vijay Hari Zol,12,11,0,298,109,27.09,1,1,122.63,3,NA
Vijay Shankar,21,14,2,127,34,10.58,0,0,98.44,16,NA
Vijaykumar Yo Mahesh,46,19,9,86,16,8.6,0,0,94.5,13,NA
Vikram Rajvir Singh,33,6,3,39,22*,13,0,0,125.8,7,NA
Vikramjeet Malik,41,18,3,189,48,12.6,0,0,113.17,6,NA
Vikrant Shyam Yeligati,4,2,1,6,4*,6,0,0,120,1,NA
Virat Kohli,206,193,38,6462,113,41.69,4,46,133.09,90,NA
Virender Sehwag,159,157,6,4061,122,26.89,2,24,147.83,42,NA
Visvajitsinh Dilipsinh Solanki,7,7,1,89,50*,14.83,0,1,136.92,2,NA
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,56,46,9,672,73,18.16,0,4,110.52,8,NA
Wasim Jaffer,23,23,1,616,95,28,0,6,129.14,11,NA
Wayne Dillon Parnell,145,77,33,796,99,18.09,0,2,121.52,25,NA
Wilkin Arvind Mota,21,17,2,228,50,15.2,0,1,91.56,6,NA
Wriddhaman Prasanta Saha,146,123,27,2383,115*,24.82,1,12,130.64,76,24
Xavier Thalaivan Sargunam,1,1,0,10,10,10,0,0,58.82,0,NA
Yalaka Gnaneswara Rao,23,21,2,429,71*,22.57,0,3,123.98,10,NA
Yalaka Venugopal Rao,83,71,12,1390,71*,23.55,0,7,121.71,16,NA
Yashpal Singh,47,43,4,973,58,24.94,0,5,102.31,14,NA
Yogesh Nagar,49,37,9,560,44*,20,0,0,109.58,16,NA
Yogesh Vijay Takawale,32,26,3,672,89,29.21,0,4,109.44,21,8
Yusuf Adam Abdulla,55,8,5,26,16*,8.66,0,0,72.22,6,NA
Yusuf Khan Pathan,213,191,47,4092,100,28.41,1,19,144.49,69,NA
Yuvraj Singh,187,176,23,4047,83,26.45,0,23,131.05,43,NA
Yuzvendra Singh Chahal,82,16,11,31,10,6.2,0,0,75.6,26,NA
Zaheer Khan,127,46,25,187,26,8.9,0,0,89.9,26,NA
