Name,Matches,Innings,Not_Outs,Runs,High_Score,Average,No_Of_100,No_Of_50,Strike_Rate,Catches_Taken,Stumpings
Gurinder Singh Sandhu,26,6,2,25,7*,6.25,0,0,78.12,7,NA
Gurkeerat Singh Mann,62,54,10,947,93*,21.52,0,5,122.98,28,3
Halhadar Michu Das,18,17,7,184,59*,18.4,0,1,96.84,11,9
Harbhajan Singh,209,125,44,1341,78,16.55,0,2,138.81,64,NA
Hardik Himanshu Pandya,65,50,10,1002,86*,25.05,0,5,122.64,32,NA
Harmeet Singh Baddhan,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Harmeet Singh Bansal,31,8,3,22,14,4.4,0,0,110,6,NA
Harpreet Singh Bhatia,38,35,8,806,71*,29.85,0,5,113.04,20,NA
Harshal Vikrambhai Patel,61,33,10,177,26,7.69,0,0,129.19,17,NA
Hashim Mahomed Amla,105,104,9,3013,97*,31.71,0,20,126.33,29,NA
Herschelle Herman Gibbs,171,167,13,3895,101*,25.29,1,28,123.22,76,NA
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,57,28,8,337,55*,16.85,0,1,138.11,23,NA
Irfan Khan Pathan,163,127,49,1796,60,23.02,0,1,123.35,40,NA
Ishan Malhotra,11,10,3,104,28,14.85,0,0,97.19,2,NA
Ishan Pranavkumarpandey Kishan,19,19,0,277,48,14.57,0,0,93.26,6,2
Ishank Rajiv Jaggi,45,44,10,1011,108*,29.73,1,4,112.83,13,NA
Ishant Sharma,103,24,19,45,9,9,0,0,81.81,21,NA
Ishwar Chand Pandey,45,10,3,56,19*,8,0,0,136.58,9,NA
Ishwar Haribhai Chaudhary,7,2,2,2,1*,NA,0,0,33.33,0,NA
Jacob David Philip Oram,105,85,18,1111,66*,16.58,0,4,126.1,35,NA
Jacques Henry Kallis,176,171,28,4416,97*,30.88,0,32,112.45,54,NA
Jagadeesh Arunkumar,7,7,0,79,31,11.28,0,0,101.28,0,NA
Jagadeesha Suchith,25,12,5,92,34*,13.14,0,0,115,12,NA
Jagrit Anand,15,12,1,201,54,18.27,0,1,95.26,4,NA
Jalaj Sahay Saxena,42,38,7,489,55*,15.77,0,1,86.54,10,NA
Jamaluddin Syed Mohammad,41,30,13,383,42*,22.52,0,0,110.37,10,NA
James Douglas Sheehan Neesham,69,53,16,989,59*,26.72,0,2,137.74,22,NA
James Edward Charles Franklin,197,177,43,3803,90,28.38,0,14,124.93,68,NA
James Peter Faulkner,134,99,42,1259,73,22.08,0,1,127.55,42,NA
James Redfern Hopes,93,79,14,1468,71,22.58,0,10,124.09,22,NA
Jaskaran Singh Butta,16,11,5,54,16,9,0,0,110.2,0,NA
Jason Omar Holder,70,46,13,432,48,13.09,0,0,125.94,34,NA
Jasprit Jasbirsingh Bumrah,82,11,7,34,14*,8.5,0,0,82.92,11,NA
Jayant Yadav,29,20,10,196,31,19.6,0,0,115.97,11,NA
Jaydev Dipakbhai Unadkat,66,20,12,126,39*,15.75,0,0,141.57,14,NA
Jean-Paul Duminy,210,197,62,5137,99*,38.05,0,33,122.28,79,NA
Jerome Everton Taylor,72,32,15,174,21,10.23,0,0,108.75,14,NA
Jesse Daniel Ryder,130,126,8,3111,107*,26.36,1,22,147.65,40,NA
Joginder Sharma,58,35,8,410,75*,15.18,0,1,127.72,16,NA
Johan Botha,184,134,45,1747,67*,19.62,0,2,112.13,80,NA
Johannes Albertus Morkel,287,231,85,3767,73*,25.8,0,11,137.93,62,NA
Johannes Jacobus van der Wath,109,78,26,862,48*,16.57,0,0,127.51,13,NA
John Wayne Hastings,84,56,15,642,80*,15.65,0,2,152.13,20,NA
Joseph Charles Buttler,160,142,34,3066,73*,28.38,0,17,147.19,85,17
Juan Theron,120,49,25,228,31*,9.5,0,0,107.54,34,NA
Justin Lee Langer,41,38,2,1015,97,28.19,0,5,136.42,8,NA
Justin Miles Kemp,101,80,29,1451,89*,28.45,0,4,124.44,47,NA
Kamran Akmal,182,166,16,3777,105,25.18,1,25,128.29,103,85
Kamran Khan,11,3,2,22,19*,22,0,0,122.22,4,NA
Kane Stuart Williamson,103,95,10,2296,101*,27.01,1,12,118.84,45,NA
Kane William Richardson,58,21,6,162,26,10.8,0,0,109.45,22,NA
Kannur Lokesh Rahul,58,48,10,1229,110*,32.34,1,7,127.35,20,4
Karan Goel,44,39,5,679,82,19.97,0,3,91.88,12,NA
Karanveer Singh,15,6,4,36,17*,18,0,0,66.66,6,NA
Karn Vinod Sharma,90,62,19,911,67,21.18,0,2,123.1,17,NA
Karun Kaladharan Nair,64,58,8,1179,83*,23.58,0,8,122.3,17,NA
Kathuria Anureet Singh,44,18,10,70,16,8.75,0,0,81.39,11,NA
Kedar Hemant Devdhar,39,38,1,800,96,21.62,0,3,115.77,17,2
Kedar Mahadeo Jadhav,84,76,22,1325,63*,24.53,0,7,138.45,30,4
Kemar Andre Jamal Roach,44,13,5,59,12,7.37,0,0,113.46,17,NA
Kevin Peter Pietersen,159,154,23,4551,115*,34.74,3,26,136.13,56,NA
Kevon Keston Cooper,141,84,35,565,32,11.53,0,0,135.49,46,NA
Khan Abdur Razzak,79,39,17,191,36*,8.68,0,0,89.67,20,NA
Kieron Adrian Pollard,327,293,87,6355,89*,30.84,0,30,151.85,185,NA
Konda Bhaskar Arun Karthik,53,43,10,603,66,18.27,0,2,122.56,36,3
Konganda Charamanna Cariappa,10,3,2,13,12*,13,0,0,118.18,2,NA
Kotragada Prabhu Appanna,24,6,5,13,9*,13,0,0,130,7,NA
Krishankumar Dinesh Karthik,199,175,22,3682,90*,24.06,0,18,127.62,121,44
Krishmar Santokie,89,29,12,146,22,8.58,0,0,92.99,19,NA
Krishnakant Rameshwar Upadhyay,21,10,6,19,11*,4.75,0,0,79.16,7,NA
Krunal Himashu Pandya,27,18,5,404,86,31.07,0,2,164.89,9,NA
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,99,51,15,370,31,10.27,0,0,122.51,37,NA
Kuldeep Yadav,24,4,3,22,17*,22,0,0,122.22,6,NA
Kumar Chokshanada Sangakkara,207,201,19,5321,94,29.23,0,31,126.9,119,52
Kyle John Abbott,91,29,19,130,16*,13,0,0,110.16,25,NA
Lakshmipathy Balaji,104,20,9,54,15,4.9,0,0,87.09,16,NA
Laxmi Ratan Shukla,81,64,16,994,76,20.7,0,3,120.63,31,NA
Lee Andrew Carseldine,26,24,5,596,74,31.36,0,4,125.21,9,NA
Lendl Mark Platter Simmons,180,178,18,4902,100*,30.63,1,38,115.61,68,NA
Lindamlilage Prageeth Chamara Silva,65,62,8,1321,110*,24.46,1,3,119.98,26,NA
Lokesh Sharma,2,1,0,16,16,16,0,0,160,0,NA
Lovesh Ablash,22,4,4,6,4*,NA,0,0,50,1,NA
Luke Anthony Pomersbach,56,54,7,1229,112*,26.14,1,5,129.91,21,NA
Luke James Wright,256,236,25,6022,153*,28.54,6,29,145.98,88,NA
Luke Ronchi,106,92,14,1454,76,18.64,0,4,139.8,72,24
Luteru Ross Poutoa Lote Taylor,222,207,46,4928,111*,30.6,1,25,133.4,105,NA
Magina Thilan Thushara Mirando,51,31,10,233,48,11.09,0,0,112.01,17,NA
Mahendra Singh Dhoni,245,219,87,4955,73*,37.53,0,18,135.82,124,60
Mahesh Rawat,48,40,14,632,72*,24.3,0,4,116.39,40,13
Makhaya Ntini,60,12,6,30,11,5,0,0,69.76,7,NA
Manan Vohra,57,55,4,1349,77,26.45,0,6,126.78,21,NA
Mandeep Singh,102,90,15,1924,77*,25.65,0,9,122.62,40,NA
Manish Krishnanand Pandey,141,132,18,2950,114*,25.87,1,13,117.52,69,2
Manoj Kumar Tiwary,124,109,28,2399,75*,29.61,0,11,113.32,65,NA
Manpreet Singh Gony,69,35,13,311,42,14.13,0,0,144.65,10,NA
Manprit Charanjit Juneja,38,36,8,871,108*,31.1,1,3,126.04,18,NA
Manvinder Bisla,65,64,3,1324,92,21.7,0,6,110.7,40,15
Marchant de Lange,47,15,9,63,9*,10.5,0,0,118.86,7,NA
Marcus Peter Stoinis,27,23,3,404,52,20.2,0,2,115.09,3,NA
Mark Verdon Boucher,90,76,27,1378,60*,28.12,0,4,115.5,48,16
Marlon Nathaniel Samuels,132,130,28,3251,106*,31.87,2,22,118,35,NA
Martin James Guptill,170,165,18,5030,120*,34.21,2,32,127.92,105,NA
Mashrafe Bin Mortaza,105,67,17,664,56*,13.28,0,1,130.7,21,NA
Mathurage Don Kusal Janith Perera,74,71,4,1391,84,20.76,0,10,126.22,26,15
Matthew Lawrence Hayden,50,50,5,1632,93,36.26,0,13,136.91,18,NA
Matthew Scott Wade,88,72,15,1228,80,21.54,0,6,121.46,47,8
Mayank Anurag Agarwal,79,74,5,1568,111,22.72,1,8,127.16,33,NA
Michael Edward Killeen Hussey,161,149,27,4569,116*,37.45,1,35,124.9,77,NA
Michael Gertges Neser,31,20,10,198,35*,19.8,0,0,111.86,14,NA
Michael John Buchanan,5,5,1,60,48,15,0,0,127.65,1,NA
Michael John Clarke,46,40,5,737,67,21.05,0,1,108.22,18,NA
Michael John Lumb,214,212,12,4900,124*,24.5,1,26,138.37,67,NA
Michael Klinger,123,120,20,3891,126*,38.91,6,23,127.03,40,NA
Misbah-ul-Haq Khan Niazi,138,122,32,3067,107*,34.07,1,11,118.69,56,NA
Mitchell Aaron Starc,85,28,13,124,29,8.26,0,0,87.32,28,NA
Mitchell Guy Johnson,82,46,21,280,30,11.2,0,0,103.7,18,NA
Mitchell John McClenaghan,101,31,17,128,20,9.14,0,0,136.17,19,NA
Mitchell Ross Marsh,59,52,14,1110,77*,29.21,0,5,120.26,22,NA
Mithun Manhas,86,67,17,1102,52,22.04,0,1,104.75,25,NA
Mohamed Farveez Maharoof,91,68,20,861,55*,17.93,0,1,119.41,28,NA
Mohammad Ashraful,64,60,4,1300,103*,23.21,1,4,117.54,21,NA
Mohammad Asif,35,7,4,13,5*,4.33,0,0,86.66,8,NA
Mohammad Hafeez,196,187,14,4174,102*,24.12,2,25,124.55,63,NA
Mohammad Imran Tahir,134,24,11,118,17*,9.07,0,0,122.91,31,NA
Mohammad Kaif,70,63,10,1170,70,22.07,0,7,105.97,40,NA
Mohammad Mustafizur Rahman,41,6,2,9,6,2.25,0,0,69.23,10,NA
Mohammad Younis Khan,83,78,17,1864,71*,30.55,0,10,117.3,34,NA
Mohammed Shami,52,13,7,22,5,3.66,0,0,62.85,11,NA
Mohit Sharma,79,18,10,64,21*,8,0,0,106.66,18,NA
Mohnish Bipinbhai Parmar,7,5,2,12,7,4,0,0,100,1,NA
Mohnish Dinesh Mishra,48,47,3,899,84,20.43,0,3,133.18,14,NA
Moises Constantino Henriques,136,119,25,2293,77,24.39,0,8,123.74,63,NA
Morne Morkel,159,41,22,185,23*,9.73,0,0,117.83,25,NA
Morne Nico van Wyk,115,111,14,2982,114*,30.74,1,19,122.26,80,19
Munaf Musa Patel,93,19,13,46,23*,7.66,0,0,90.19,20,NA
Murali Kartik,147,46,21,320,35,12.8,0,0,110.34,38,NA
Murali Vijay,150,148,5,3684,127,25.76,2,20,121.82,61,NA
Murugan Ashwin,16,3,1,3,3*,1.5,0,0,50,1,NA
Musavir Asmat Khote,11,7,2,147,72,29.4,0,1,137.38,5,NA
Muttiah Muralitharan,164,38,14,81,11,3.37,0,0,73.63,31,NA
Naman Vijaykumar Ojha,141,130,19,2276,94*,20.5,0,10,119.09,92,20
Narangoda Liyanaarachchilage Tissara Chirantha Perera,178,146,41,1955,72,18.61,0,2,141.46,69,NA
Nathan John Rimmington,77,29,13,170,26,10.62,0,0,105.59,20,NA
Nathan Leslie McCullum,173,135,37,1618,76*,16.51,0,4,125.91,72,NA
Nathan Mitchell Coulter-Nile,76,44,21,341,42*,14.82,0,0,126.29,23,NA
Nayan Dilip Doshi,52,10,5,10,5,2,0,0,29.41,12,NA
Nicolas James Maddinson,56,55,4,1183,85,23.19,0,7,129.28,9,NA
Nikhil Shankar Naik,18,17,1,400,69,25,0,3,123.45,11,NA
Niraj Kanubhai Patel,37,34,6,957,96*,34.17,0,6,119.17,14,NA
Nitin Saini,45,41,4,713,74*,19.27,0,3,104.69,37,14
Nitish Rana,19,17,1,544,97,34,0,4,149.86,3,NA
Owais Alam Shah,230,217,49,5509,84,32.79,0,30,125.06,73,NA
Padmaja Vasudevan Manikantan,5,5,0,125,42,25,0,0,127.55,2,NA
Padmanabhan Prasanth,44,32,17,285,43*,19,0,0,133.8,6,NA
Paidikalva David Vijaykumar,18,6,4,12,6,6,0,0,120,1,NA
Palani Amarnath,14,4,3,1,1,1,0,0,33.33,4,NA
Pankaj Dharmani,11,7,2,47,16*,9.4,0,0,111.9,9,9
Pankaj Singh,42,21,10,60,10,5.45,0,0,69.76,12,NA
Paras Dogra,58,56,11,1137,93*,25.26,0,6,110.6,35,NA
Pardeep Sahu,15,11,4,134,27,19.14,0,0,113.55,4,NA
Parthiv Ajaybhai Patel,156,153,11,3173,82,22.34,0,17,120,91,23
Parvez Rasool Zarghav,37,31,5,478,52,18.38,0,1,97.15,11,NA
Parvinder Awana,61,13,8,22,8*,4.4,0,0,51.16,10,NA
Patangay Manikrao Sarvesh Kumar,2,1,1,1,1*,NA,0,0,50,0,NA
Patrick James Cummins,48,20,8,79,14*,6.58,0,0,90.8,9,NA
Paul Chandrasekhar Valthaty,34,34,1,778,120*,23.57,1,3,126.5,6,NA
Paul David Collingwood,124,108,12,1875,79,19.53,0,7,119.8,40,NA
Pawan Negi,65,49,22,536,41*,19.85,0,0,129.46,26,NA
Pawan Suyal,17,2,1,0,0*,0,0,0,0,1,NA
Peter Stephen Patrick Handscomb,35,29,12,460,103*,27.05,1,1,112.19,17,4
Pinal Rohitbhai Shah,54,37,7,461,71,15.36,0,2,110.55,43,15
Piyush Pramod Chawla,179,107,36,1084,45*,15.26,0,0,124.16,47,NA
Pradeep Sangwan,64,28,15,94,14*,7.23,0,0,91.26,18,NA
Pragyan Prayish Ojha,134,37,20,72,11*,4.23,0,0,68.57,21,NA
Prasanth Parameswaran,34,10,8,15,13*,7.5,0,0,75,5,NA
Praveenkumar Sakat Singh,162,81,28,638,76*,12.03,0,1,118.36,23,NA
Pravin Vijay Tambe,54,11,7,36,14*,9,0,0,53.73,7,NA
Produturi Akshath Reddy,47,46,6,912,105*,22.8,1,1,118.44,12,NA
Quinton de Kock,120,114,10,3531,126*,33.95,3,18,135.49,69,20
Rahil Akhilahmed Shaikh,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA
Rahul Artiprasad Shukla,26,14,8,59,17*,9.83,0,0,109.25,10,NA
Rahul Mahesh Yadav,8,4,0,19,8,4.75,0,0,63.33,6,4
Rahul Sharad Dravid,109,101,7,2586,75*,27.51,0,13,113.87,23,NA
Rahul Sharma,74,35,9,131,14*,5.03,0,0,98.49,20,NA
Rahul Tewatia,4,1,0,16,16,16,0,0,123.07,0,NA
Raiphi Vincent Gomez,55,48,17,732,62*,23.61,0,2,130.48,21,NA
Rajagopal Sathish,62,49,14,667,41*,19.05,0,0,129.51,25,NA
Rajat Bhatia,137,87,36,1133,107*,22.21,1,1,118.51,40,NA
Rajesh Kinyaram Bishnoi,32,29,1,580,75,20.71,0,4,149.48,17,NA
Rajesh Vithal Pawar,8,4,1,7,3,2.33,0,0,50,1,NA
Raju Ravi Bhatkal,20,14,5,86,25,9.55,0,0,102.38,11,NA
Ramesh Rajaram Powar,28,11,7,72,28*,18,0,0,102.85,5,NA
Ramnaresh Ronnie Sarwan,77,71,9,1197,70,19.3,0,5,103.81,24,NA
Ramsawamy Shreyas Gopal,14,8,2,103,39,17.16,0,0,117.04,3,NA
Ranadeb Ranjit Bose,11,3,1,7,7,3.5,0,0,140,0,NA
Ranganath Vinay Kumar,147,68,25,548,38,12.74,0,0,122.04,44,NA
Ravichandran Ashwin,195,62,28,474,46,13.94,0,0,109.21,43,NA
Ravinder Singh Bopara,233,216,41,4810,105*,27.48,1,26,119.59,74,NA
Ravindranath Rampaul,114,36,20,155,23*,9.68,0,0,101.3,20,NA
Ravindrasinh Anirudhsinh Jadeja,183,129,39,1887,48,20.96,0,0,121.66,63,NA
Raymond William Price,68,25,13,87,14,7.25,0,0,79.09,14,NA
