Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
SK Warne,1548,1,1863,70,4-21,26.61,1,0,22.11,7.22,0.0452196382
SM Harwood,845,0,1080,48,3-13,22.5,0,0,17.6,7.66,0.0568047337
SR Watson,3490,5,4471,172,4-15,25.99,2,0,20.29,7.68,0.0492836676
S Sreesanth,1192,6,1639,50,3-29,32.78,0,0,23.84,8.25,0.0419463087
SN Thakur,262,0,340,16,2-11,21.25,0,0,16.37,7.78,0.0610687023
SE Marsh,12,0,13,0,0-2,NA,NA,NA,NA,6.5,0
SM Pollock,937,4,996,45,3-12,22.13,0,0,20.82,6.37,0.0480256137
SW Tait,3600,7,4737,214,5-32,22.13,3,1,16.82,7.89,0.0594444444
S Dhawan,48,0,66,4,1-7,16.5,0,0,12,8.25,0.0833333333
Shivam Sharma,163,0,215,9,3-7,23.88,0,0,18.11,7.91,0.0552147239
S Kaushik,138,0,192,6,3-20,32,0,0,23,8.34,0.0434782609
Shoaib Akhtar,804,5,978,44,5-23,22.22,2,1,18.27,7.29,0.0547263682
Shoaib Malik,2486,6,2916,114,5-13,25.57,1,2,21.8,7.03,0.0458567981
SS Shaikh,84,0,141,4,3-27,35.25,0,0,21,10.07,0.0476190476
SB Wagh,629,1,792,39,4-26,20.3,1,0,16.12,7.55,0.0620031797
Shrikant Shrihari Mundhe,463,1,626,26,3-22,24.07,0,0,17.8,8.11,0.0561555076
SD Chitnis,72,0,114,4,2-40,28.5,0,0,18,9.5,0.0555555556
S Kaul,864,2,942,47,4-14,20.04,1,0,18.38,6.54,0.0543981481
SK Trivedi,2103,3,2692,103,4-25,26.13,3,0,20.41,7.68,0.048977651
SM Katich,18,0,29,0,0-4,NA,NA,NA,NA,9.66,0
Sohail Tanvir,4892,8,5903,238,6-14,24.8,4,1,20.55,7.23,0.0486508585
SC Ganguly,573,1,756,29,3-27,26.06,0,0,19.75,7.91,0.0506108202
Sourav Subrata Sarkar,79,0,127,2,1-15,63.5,0,0,39.5,9.64,0.0253164557
S Aravind,1211,0,1576,72,4-14,21.88,3,0,16.81,7.8,0.0594549959
S Sriram,168,0,227,4,1-19,56.75,0,0,42,8.1,0.0238095238
SPD Smith,785,1,992,51,4-13,19.45,2,0,15.39,7.58,0.0649681529
STR Binny,1033,1,1299,47,4-14,27.63,1,0,21.97,7.54,0.0454985479
S Badrinath,18,0,22,1,1-16,22,0,0,18,7.33,0.0555555556
S Tyagi,364,1,480,16,4-45,30,1,0,22.75,7.91,0.043956044
S Narwal,643,4,824,27,3-15,30.51,0,0,23.81,7.68,0.0419906687
SB Joshi,283,0,338,13,2-11,26,0,0,21.76,7.16,0.0459363958
SP Narine,4478,17,4245,241,5-19,17.61,10,1,18.58,5.68,0.053818669
Sunny Gupta,254,0,287,8,2-15,35.87,0,0,31.75,6.77,0.031496063
SK Raina,1305,0,1553,50,4-26,31.06,1,0,26.1,7.14,0.0383141762
SA Yadav,132,0,140,6,2-11,23.33,0,0,22,6.36,0.0454545455
Swapnil Singh,432,0,509,28,6-19,18.17,0,1,15.42,7.06,0.0648148148
Shoaib Ahmed,102,0,152,5,2-20,30.4,0,0,20.4,8.94,0.0490196078
Tabraiz Shamsi,1195,1,1436,57,4-10,25.19,2,0,20.96,7.21,0.0476987448
Taduri Prakashchandra Sudhindra,637,3,717,35,5-30,20.48,1,1,18.2,6.75,0.0549450549
TM Srivastava,24,0,26,0,0-13,NA,NA,NA,NA,6.5,0
Tanmay Mishra,42,0,58,3,3-25,19.33,0,0,14,8.28,0.0714285714
T Kohli,191,0,217,9,2-20,24.11,0,0,21.22,6.81,0.0471204188
T Taibu,24,0,41,0,0-20,NA,NA,NA,NA,10.25,0
TM Dilshan,1564,1,1892,64,3-16,29.56,0,0,24.43,7.25,0.0409207161
Timil Kaushik Patel,134,0,141,10,3-13,14.1,0,0,13.4,6.31,0.0746268657
TG Southee,2591,7,3532,135,6-16,26.16,0,2,19.19,8.17,0.052103435
TL Suman,426,0,563,17,2-14,33.11,0,0,25.05,7.92,0.0399061033
TM Head,109,0,160,6,3-16,26.66,0,0,18.16,8.8,0.0550458716
Trent Alexander Boult,1083,3,1434,52,3-19,27.57,0,0,20.82,7.94,0.0480147738
T Henderson,1824,6,2195,93,4-29,23.6,1,0,19.61,7.22,0.0509868421
UA Birla,6,0,24,0,0-24,NA,NA,NA,NA,24,0
Umar Gul,2932,10,3602,188,5-6,19.15,8,2,15.59,7.37,0.0641200546
UT Yadav,1989,5,2711,92,5-18,29.46,1,1,21.61,8.17,0.0462543992
VR Aaron,970,2,1327,40,3-16,33.17,0,0,24.25,8.2,0.0412371134
V Pratap Singh,300,1,417,14,2-19,29.78,0,0,21.42,8.34,0.0466666667
S Vidyut,210,0,242,14,4-24,17.28,1,0,15,6.91,0.0666666667
Vijay Shankar,201,0,299,8,2-12,37.37,0,0,25.12,8.92,0.039800995
VY Mahesh,929,2,1196,52,4-23,23,2,0,17.86,7.72,0.0559741658
VRV Singh,667,0,886,31,4-24,28.58,1,0,21.51,7.97,0.0464767616
VS Malik,827,3,1012,44,3-18,23,0,0,18.79,7.34,0.0532043531
VS Yeligati,78,0,109,2,2-23,54.5,0,0,39,8.38,0.0256410256
V Kohli,454,0,661,8,2-25,82.62,0,0,56.75,8.73,0.0176211454
V Sehwag,358,0,496,22,3-14,22.54,0,0,16.27,8.31,0.061452514
Visvajitsinh Dilipsinh Solanki,153,0,164,6,2-26,27.33,0,0,25.5,6.43,0.0392156863
WPUJC Vaas,1131,5,1278,64,3-16,19.96,0,0,17.67,6.77,0.0565870911
WD Parnell,2912,7,3646,146,4-13,24.97,3,0,19.94,7.51,0.0501373626
WA Mota,249,1,298,11,3-29,27.09,0,0,22.63,7.18,0.0441767068
Y Gnaneswara Rao,114,0,162,1,1-18,162,0,0,114,8.52,0.0087719298
Y Venugopal Rao,306,0,448,8,2-23,56,0,0,38.25,8.78,0.0261437908
Yashpal Singh,218,1,249,9,3-26,27.66,0,0,24.22,6.85,0.0412844037
Y Nagar,285,0,350,21,3-13,16.66,0,0,13.57,7.36,0.0736842105
YA Abdulla,1187,4,1248,63,4-31,19.8,2,0,18.84,6.3,0.0530749789
YK Pathan,2121,1,2708,94,4-10,28.8,2,0,22.56,7.66,0.0443187176
Yuvraj Singh,1501,0,1816,79,4-29,22.98,2,0,19,7.25,0.0526315789
YS Chahal,1657,3,2021,85,4-25,23.77,1,0,19.49,7.31,0.0512975256
Zaheer Khan,2803,5,3489,129,4-17,27.04,2,0,21.72,7.46,0.0460221192
