Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
CA Lynn,78,0,93,3,2-15,31,0,0,26,7.15,0.0384615385
CH Gayle,1864,0,2343,77,4-22,30.42,2,0,24.2,7.54,0.0413090129
CH Morris,2614,8,3315,150,4-9,22.1,5,0,17.42,7.6,0.0573833206
CJ Jordan,1219,0,1756,61,4-11,28.78,2,0,19.98,8.64,0.0500410172
CJ McKay,2061,5,2696,117,4-24,23.04,3,0,17.61,7.84,0.056768559
CA Ingram,272,1,342,15,4-32,22.8,1,0,18.13,7.54,0.0551470588
C Munro,286,0,462,12,2-26,38.5,0,0,23.83,9.69,0.041958042
CRD Fernando,1187,5,1544,74,5-17,20.86,4,1,16.04,7.8,0.0623420388
CJ Anderson,564,0,805,24,2-17,33.54,0,0,23.5,8.56,0.0425531915
DW Steyn,3975,11,4423,201,4-9,22,4,0,19.77,6.67,0.0505660377
DJ Harris,400,0,517,21,3-18,24.61,0,0,19.04,7.75,0.0525
DL Vettori,3236,3,3424,131,4-20,26.13,1,0,24.7,6.34,0.0404820766
DT Christian,2816,1,3890,130,5-26,29.92,3,1,21.66,8.28,0.0461647727
DJG Sammy,3054,1,3942,146,5-26,27,2,1,20.91,7.74,0.0478061559
DS Lehmann,228,0,256,11,3-19,23.27,0,0,20.72,6.73,0.048245614
DA Miller,18,0,31,0,0-7,NA,NA,NA,NA,10.33,0
DA Warner,6,0,13,0,0-13,NA,NA,NA,NA,13,0
DJ Jacobs,6,0,14,0,0-14,NA,NA,NA,NA,14,0
DJ Hussey,1438,2,1792,68,3-25,26.35,0,0,21.14,7.47,0.0472878999
D Wiese,1821,0,2506,109,5-19,22.99,3,3,16.7,8.25,0.0598572213
DJ Hooda,277,0,353,7,3-23,50.42,0,0,39.57,7.64,0.0252707581
Deepak Lokandersingh Chahar,234,1,316,6,2-32,52.66,0,0,39,8.1,0.0256410256
DNT Zoysa,324,0,376,21,4-10,17.9,2,0,15.42,6.96,0.0648148148
DPMD Jayawardene,69,0,82,3,2-22,27.33,0,0,23,7.13,0.0434782609
DB Ravi Teja,108,1,150,4,1-0,37.5,0,0,27,8.33,0.037037037
DS Kulkarni,1936,8,2486,104,4-14,23.9,1,0,18.61,7.7,0.0537190083
D du Preez,1574,11,1921,78,4-25,24.62,1,0,20.17,7.32,0.0495552732
D Salunkhe,48,0,78,1,1-21,78,0,0,48,9.75,0.0208333333
DP Nannes,4624,9,5719,257,5-31,22.25,7,2,17.99,7.42,0.0555795848
D Kalyankrishna,240,0,353,11,4-16,32.09,1,0,21.81,8.82,0.0458333333
DJ Thornely,533,0,685,28,4-22,24.46,1,0,19.03,7.71,0.052532833
DJ Muthuswami,425,0,532,22,3-33,24.18,0,0,19.31,7.51,0.0517647059
DAJ Bracewell,797,0,1168,52,3-21,22.46,0,0,15.32,8.79,0.0652446675
DE Bollinger,2596,6,3346,134,4-13,24.97,1,0,19.37,7.73,0.0516178737
DJ Bravo,6239,2,8407,344,5-23,24.43,8,1,18.13,8.08,0.0551370412
DR Smith,1992,3,2609,99,4-8,26.35,2,0,20.12,7.85,0.0496987952
FY Fazal,144,0,177,10,2-17,17.7,0,0,14.4,7.37,0.0694444444
F Behardien,114,0,176,5,2-15,35.2,0,0,22.8,9.26,0.0438596491
FH Edwards,1778,4,2246,84,5-22,26.73,1,1,21.16,7.57,0.0472440945
F du Plessis,790,0,917,50,5-19,18.34,1,2,15.8,6.96,0.0632911392
GH Vihari,240,0,274,16,3-21,17.12,0,0,15,6.85,0.0666666667
Gagandeep Singh Toor,306,1,370,12,2-21,30.83,0,0,25.5,7.25,0.0392156863
GB Hogg,2645,3,3003,125,4-9,24.02,5,0,21.16,6.81,0.0472589792
GJ Bailey,12,0,24,0,0-24,NA,NA,NA,NA,12,0
GD McGrath,432,2,492,20,4-29,24.6,1,0,21.6,6.83,0.0462962963
GJ Maxwell,1425,1,1880,53,3-13,35.47,0,0,26.88,7.91,0.0371929825
GC Smith,96,0,148,4,3-23,37,0,0,24,9.25,0.0416666667
GR Napier,2905,7,3831,164,4-10,23.35,2,0,17.71,7.91,0.056454389
