A Ashish Reddy,Ammana Ashish Reddy
JD Ryder,Jesse Daniel Ryder
JD Unadkat,Jaydev Dipakbhai Unadkat
JDP Oram,Jacob David Philip Oram
JDS Neesham,James Douglas Sheehan Neesham
JE Taylor,Jerome Everton Taylor
JEC Franklin,James Edward Charles Franklin
JH Kallis,Jacques Henry Kallis
JJ Bumrah,Jasprit Jasbirsingh Bumrah
JJ van der Wath,Johannes Jacobus van der Wath
JM Kemp,Justin Miles Kemp
JO Holder,Jason Omar Holder
JP Duminy,Jean-Paul Duminy
JP Faulkner,James Peter Faulkner
JR Hopes,James Redfern Hopes
Jaskaran Singh,Jaskaran Singh Butta
Joginder Sharma,Joginder Sharma
K Goel,Karan Goel
K Upadhyay,Krishnakant Rameshwar Upadhyay
KA Pollard,Kieron Adrian Pollard
KAJ Roach,Kemar Andre Jamal Roach
KB Arun Karthik,Konda Bhaskar Arun Karthik
KC Cariappa,Konganda Charamanna Cariappa
KC Sangakkara,Kumar Chokshanada Sangakkara
KD Karthik,Krishankumar Dinesh Karthik
KH Pandya,Krunal Himashu Pandya
KJ Abbott,Kyle John Abbott
KK Cooper,Kevon Keston Cooper
KK Nair,Karun Kaladharan Nair
KL Rahul,Kannur Lokesh Rahul
KM Jadhav,Kedar Mahadeo Jadhav
KMDN Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara
KP Appanna,Kotragada Prabhu Appanna
KP Pietersen,Kevin Peter Pietersen
KS Williamson,Kane Stuart Williamson
KV Sharma,Karn Vinod Sharma
KW Richardson,Kane William Richardson
Kamran Akmal,Kamran Akmal
Kamran Khan,Kamran Khan
Karanveer Singh,Karanveer Singh
L Balaji,Lakshmipathy Balaji
L Ronchi,Luke Ronchi
LA Carseldine,Lee Andrew Carseldine
LA Pomersbach,Luke Anthony Pomersbach
LJ Wright,Luke James Wright
LMP Simmons,Lendl Mark Platter Simmons
LPC Silva,Lindamlilage Prageeth Chamara Silva
LR Shukla,Laxmi Ratan Shukla
LRPL Taylor,Luteru Ross Poutoa Lote Taylor
M Ashwin,Murugan Ashwin
M Kaif,Mohammad Kaif
M Kartik,Murali Kartik
M Klinger,Michael Klinger
M Manhas,Mithun Manhas
M Morkel,Morne Morkel
M Muralitharan,Muttiah Muralitharan
M Ntini,Makhaya Ntini
M Rawat,Mahesh Rawat
M Vijay,Murali Vijay
M Vohra,Manan Vohra
M de Lange,Marchant de Lange
MA Agarwal,Mayank Anurag Agarwal
MA Khote,Musavir Asmat Khote
MA Starc,Mitchell Aaron Starc
MC Henriques,Moises Constantino Henriques
MC Juneja,Manprit Charanjit Juneja
MD Mishra,Mohnish Dinesh Mishra
MDKJ Perera,Mathurage Don Kusal Janith Perera
MEK Hussey,Michael Edward Killeen Hussey
MF Maharoof,Mohamed Farveez Maharoof
MG Johnson,Mitchell Guy Johnson
MJ Clarke,Michael John Clarke
MJ Guptill,Martin James Guptill
MJ Lumb,Michael John Lumb
MJ McClenaghan,Mitchell John McClenaghan
MK Pandey,Manish Krishnanand Pandey
MK Tiwary,Manoj Kumar Tiwary
ML Hayden,Matthew Lawrence Hayden
MM Patel,Munaf Musa Patel
MM Sharma,Mohit Sharma
MN Samuels,Marlon Nathaniel Samuels
MN van Wyk,Morne Nico van Wyk
MP Stoinis,Marcus Peter Stoinis
MR Marsh,Mitchell Ross Marsh
MS Bisla,Manvinder Bisla
MS Dhoni,Mahendra Singh Dhoni
MS Gony,Manpreet Singh Gony
MS Wade,Matthew Scott Wade
MV Boucher,Mark Verdon Boucher
Mandeep Singh,Mandeep Singh
Mashrafe Mortaza,Mashrafe Bin Mortaza
Misbah-ul-Haq,Misbah-ul-Haq Khan Niazi
Mohammad Ashraful,Mohammad Ashraful
Mohammad Asif,Mohammad Asif
Mohammad Hafeez,Mohammad Hafeez
Mohammed Shami,Mohammed Shami
N Rana,Nitish Rana
N Saini,Nitin Saini
ND Doshi,Nayan Dilip Doshi
NJ Maddinson,Nicolas James Maddinson
NJ Rimmington,Nathan John Rimmington
NK Patel,Niraj Kanubhai Patel
NL McCullum,Nathan Leslie McCullum
NLTC Perera,Narangoda Liyanaarachchilage Tissara Chirantha Perera
NM Coulter-Nile,Nathan Mitchell Coulter-Nile
NS Naik,Nikhil Shankar Naik
NV Ojha,Naman Vijaykumar Ojha
OA Shah,Owais Alam Shah
P Awana,Parvinder Awana
P Dogra,Paras Dogra
P Kumar,Praveenkumar Sakat Singh
P Negi,Pawan Negi
P Parameswaran,Prasanth Parameswaran
P Sahu,Pardeep Sahu
PA Patel,Parthiv Ajaybhai Patel
PA Reddy,Produturi Akshath Reddy
PC Valthaty,Paul Chandrasekhar Valthaty
PD Collingwood,Paul David Collingwood
PJ Cummins,Patrick James Cummins
PJ Sangwan,Pradeep Sangwan
PM Sarvesh Kumar,Patangay Manikrao Sarvesh Kumar
PP Chawla,Piyush Pramod Chawla
PP Ojha,Pragyan Prayish Ojha
PR Shah,Pinal Rohitbhai Shah
PSP Handscomb,Peter Stephen Patrick Handscomb
PV Tambe,Pravin Vijay Tambe
Pankaj Singh,Pankaj Singh
Parvez Rasool,Parvez Rasool Zarghav
Q de Kock,Quinton de Kock
R Ashwin,Ravichandran Ashwin
R Bhatia,Rajat Bhatia
R Bishnoi,Rajesh Kinyaram Bishnoi
R Dhawan,Rishi Dhawan
R Dravid,Rahul Sharad Dravid
R McLaren,Ryan McLaren
R Ninan,Ryan Ninan
R Rampaul,Ravindranath Rampaul
R Sathish,Rajagopal Sathish
R Sharma,Rahul Sharma
R Shukla,Rahul Artiprasad Shukla
R Tewatia,Rahul Tewatia
R Vinay Kumar,Ranganath Vinay Kumar
RA Jadeja,Ravindrasinh Anirudhsinh Jadeja
RE Levi,Richard Ernst Levi
RE van der Merwe,Roelof Erasmus van der Merwe
RG More,Ronit Gajanan More
RG Sharma,Rohit Gurunath Sharma
RJ Harris,Ryan James Harris
RJ Peterson,Robin John Peterson
RJ Quiney,Robert John Quiney
RN ten Doeschate,Ryan Neil ten Doeschate
RP Singh,Rudra Pratap Singh
RR Bhatkal,Raju Ravi Bhatkal
RR Pant,Rishabh Rajendra Panth
RR Powar,Ramesh Rajaram Powar
RR Raje,Rohan Ravindra Raje
RR Rossouw,Rilee Roscoe Rossouw
RR Sarwan,Ramnaresh Ronnie Sarwan
RS Bopara,Ravinder Singh Bopara
RS Gavaskar,Rohan Sunil Gavaskar
RS Sodhi,Reetinder Singh Sodhi
RT Ponting,Ricky Thomas Ponting
RV Gomez,Raiphi Vincent Gomez
RV Uthappa,Robin Venu Uthappa
S Aravind,Sreenath Aravind
S Badrinath,Subramaniam Badrinath
S Chanderpaul,Shivnarine Chanderpaul
S Dhawan,Shikhar Dhawan
S Gopal,Ramsawamy Shreyas Gopal
S Kaul,Siddharth Kaul
S Kaushik,Shivil Kaushik
S Ladda,Sarabjit Singh Ladda
S Nadeem,Shahbaz Nadeem
S Narwal,Sumit Narwal
S Rana,Sachin Rana
S Randiv,Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla
S Sohal,Sunny Sohal
S Sreesanth,Shanthakumaran Sreesanth
S Sriram,Sridharan Sriram
S Tyagi,Sudeep Tyagi
SA Abbott,Sean Anthony Abbott
SA Asnodkar,Swapnil Ashok Asnodkar
SA Yadav,Suryakumar Ashok Yadav
SB Bangar,Sanjay Bapusaheb Bangar
SB Jakati,Shadab Bashir Jakati
SB Joshi,Sunil Bandacharya Joshi
SB Styris,Scott Bernard Styris
SB Wagh,Shrikant Bhaskar Wagh
SC Ganguly,Sourav Chandidas Ganguly
SD Chitnis,Siddharth Dilip Chitnis
SE Bond,Shane Edward Bond
SE Marsh,Shaun Edward Marsh
SJ Srivastava,Shalabh Jagdishprasad Srivastava
SK Raina,Suresh Kumar Raina
SK Trivedi,Siddharth Kishorkumar Trivedi
SK Warne,Shane Keith Warne
SL Malinga,Separamadu Lasith Malinga Swarnajith
SM Harwood,Shane Michael Harwood
SM Katich,Simon Mathew Katich
SM Pollock,Shaun Maclean Pollock
SMSM Senanayake,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake
SN Khan,Sarfaraz Naushad Khan
SN Thakur,Shardul Narendra Thakur
SP Fleming,Stephen Paul Fleming
SP Goswami,Shreevats Pratyush Goswami
SP Narine,Sunil Philip Narine
SPD Smith,Steven Peter Devereux Smith
SR Tendulkar,Sachin Ramesh Tendulkar
SR Watson,Shane Robert Watson
SS Iyer,Shreyas Santosh Iyer
SS Shaikh,Shoaib Shabbir Shaikh
SS Tiwary,Saurabh Sunil Tiwary
ST Jayasuriya,Sanath Teran Jayasuriya
STR Binny,Stuart Terence Roger Binny
SV Samson,Sanju Viswanath Samson
SW Billings,Samuel William Billings
SW Tait,Shaun William Tait
Sachin Baby,Sachin Baby
Salman Butt,Salman Butt
Sandeep Sharma,Sandeep Sharma
Shahid Afridi,Sahibzada Mohammad Shahid Khan Afridi
Shakib Al Hasan,Shakib Al Hasan
Shivam Sharma,Shivam Sharma
Shoaib Ahmed,Syed Mohammad Shoaib Ahmed
Shoaib Akhtar,Shoaib Akhtar
Shoaib Malik,Shoaib Malik
Sohail Tanvir,Sohail Tanvir
Sunny Gupta,Sunny Suresh Gupta
Sunny Singh,Sunny Singh
