Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
Aaron James Finch,203,0,318,6,1-9,53,0,0,33.83,9.39,0.0295566502
Aavishkar Madhav Salvi,389,0,527,18,3-28,29.27,0,0,21.61,8.12,0.0462724936
Abhimanyu Mithun,834,0,1149,41,5-37,28.02,0,1,20.34,8.26,0.0491606715
Abhinav Mukund,105,0,101,11,3-22,9.18,0,0,9.54,5.77,0.1047619048
Abhishek Arunkumar Jhunjhunwala,121,0,172,3,1-5,57.33,0,0,40.33,8.52,0.0247933884
Abhishek Mohan Nayar,553,0,770,22,3-13,35,0,0,25.13,8.35,0.0397830018
Abhishek Santosh Raut,152,0,215,9,3-22,23.88,0,0,16.88,8.48,0.0592105263
Abrar Anjum Kazi,66,0,91,2,2-25,45.5,0,0,33,8.27,0.0303030303
Abu Nachim Ahmed,1051,2,1364,48,4-21,28.41,1,0,21.89,7.78,0.0456707897
Adam Charles Voges,542,0,718,26,2-4,27.61,0,0,20.84,7.94,0.0479704797
Adam Craig Gilchrist,1,0,0,1,1-0,0,0,0,1,0,1
Adam Fraser Milne,1200,7,1543,64,4-37,24.1,1,0,18.75,7.71,0.0533333333
Adam John Hollioake,385,0,515,40,5-21,12.87,2,2,9.62,8.02,0.1038961039
Adam Zampa,1083,0,1264,64,6-19,19.75,0,1,16.92,7,0.0590951062
Aditya Pradeep Dole,66,0,112,5,2-36,22.4,0,0,13.2,10.18,0.0757575758
Adrian Dimitri Mascarenhas,2647,8,3133,152,5-14,20.61,1,2,17.41,7.1,0.0574234983
Aiden Craig Blizzard,6,0,10,0,0-10,NA,NA,NA,NA,10,0
Ajinkya Madhukar Rahane,6,0,5,1,1-5,5,0,0,6,5,0.1666666667
Ajit Bhalchandra Agarkar,1172,1,1608,47,3-25,34.21,0,0,24.93,8.23,0.0401023891
Ajit Chandila,472,0,497,24,4-13,20.7,1,0,19.66,6.31,0.0508474576
Akashdeep Deependra Nath,126,0,168,8,3-20,21,0,0,15.75,8,0.0634920635
Akshar Rajeshbhai Patel,1522,2,1752,69,4-21,25.39,1,0,22.05,6.9,0.0453350854
Alfonso Clive Thomas,4558,15,5739,263,5-24,21.82,4,1,17.33,7.55,0.0577007459
Ali Ghulam Murtaza,654,1,761,32,3-9,23.78,0,0,20.43,6.98,0.0489296636
Amit Mishra,3569,10,4183,199,5-17,21.02,4,2,17.93,7.03,0.0557579154
Amit Singh,628,3,805,34,4-19,23.67,1,0,18.47,7.69,0.0541401274
Amit Uniyal,60,0,88,5,3-22,17.6,0,0,12,8.8,0.0833333333
Ammana Ashish Reddy,826,2,1079,53,4-22,20.35,1,0,15.58,7.83,0.0641646489
Anand Rajan,689,1,784,47,4-26,16.68,1,0,14.65,6.82,0.0682148041
Andre Dwayne Russell,3779,4,5122,201,4-11,25.48,7,0,18.8,8.13,0.0531886743
Andre Nel,1240,4,1394,37,2-13,37.67,0,0,33.51,6.74,0.0298387097
Andrew Barry McDonald,1470,0,1887,82,5-13,23.01,1,1,17.92,7.7,0.0557823129
Andrew Flintoff,657,0,827,39,4-12,21.2,1,0,16.84,7.55,0.0593607306
Andrew Symonds,1237,1,1657,52,5-18,31.86,0,1,23.78,8.03,0.0420371867
Angelo Davis Mathews,1933,5,2343,78,4-19,30.03,1,0,24.78,7.27,0.0403517848
Anil Kumble,1245,1,1389,57,5-5,24.36,2,1,21.84,6.69,0.0457831325
Ankeet Anil Chavan,476,0,633,19,4-29,33.31,1,0,25.05,7.97,0.0399159664
Ankit Nagendra Sharma,799,0,975,33,3-18,29.54,0,0,24.21,7.32,0.041301627
Ankitsingh Rajpoot,439,1,533,25,3-15,21.32,0,0,17.56,7.28,0.0569476082
Asadullah Khan Pathan,39,0,63,0,0-14,NA,NA,NA,NA,9.69,0
Ashish Nehra,2586,3,3283,146,4-10,22.48,2,0,17.71,7.61,0.05645785
Ashley Allan Noffke,634,2,789,38,3-18,20.76,0,0,16.68,7.46,0.0599369085
Ashok Bhimchandra Dinda,2305,4,2924,117,4-13,24.99,3,0,19.7,7.61,0.0507592191
Ashok Lakshminarayan Menaria,445,0,483,17,3-19,28.41,0,0,26.17,6.51,0.0382022472
Azhar Mahmood Sagar,4825,10,6143,258,5-24,23.81,3,1,18.7,7.63,0.0534715026
Balachandra Akhil,535,1,638,24,3-16,26.58,0,0,22.29,7.15,0.0448598131
Balapuwaduge Ajantha Winslo Mendis,2617,6,3008,159,6-8,18.91,5,2,16.45,6.89,0.0607565915
