Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
JP Duminy,AJ Finch,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
JP Duminy,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,A Mithun,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142
JP Duminy,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,AA Jhunjhunwala,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
JP Duminy,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
JP Duminy,AS Raut,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
JP Duminy,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,AN Ahmed,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
JP Duminy,AC Voges,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
JP Duminy,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,A Zampa,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
JP Duminy,AP Dole,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
JP Duminy,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
JP Duminy,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,AM Rahane,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
JP Duminy,AB Agarkar,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
JP Duminy,A Chandila,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
JP Duminy,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,AR Patel,0.4,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1
JP Duminy,AC Thomas,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
JP Duminy,AG Murtaza,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
JP Duminy,A Mishra,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
JP Duminy,A Singh,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142
JP Duminy,A Uniyal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
JP Duminy,A Ashish Reddy,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
JP Duminy,Anand Rajan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
JP Duminy,AD Russell,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
JP Duminy,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP Duminy,AB McDonald,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
JP Duminy,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
JP Duminy,A Symonds,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
