Batsman_cluster,Bowler_cluster,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
0,4,0.367945489557,0.350022218931,0.0591023552066,0.00459191230929,0.104280847282,0.000148126203525,0.0259220856169,0.0396978225448,0.0482891423493
0,5,0.295825771325,0.390199637024,0.065335753176,0.0,0.0871143375681,0.0,0.038112522686,0.059891107078,0.0635208711434
0,6,0.355741797432,0.34664764622,0.0550998573466,0.00303138373752,0.110734664765,0.000356633380884,0.0324536376605,0.0424393723252,0.0534950071327
0,7,0.363752719826,0.337514399078,0.0656597977729,0.00383975425573,0.105721233841,0.00089594265967,0.0279022142583,0.0418533213874,0.0528606169205
0,8,0.373277559055,0.352116141732,0.0580708661417,0.00344488188976,0.0893208661417,0.000492125984252,0.0211614173228,0.0489665354331,0.0531496062992
0,9,0.317321016166,0.376905311778,0.0637413394919,0.00600461893764,0.110854503464,0.000461893764434,0.0448036951501,0.038337182448,0.0415704387991
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0.666666666667,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.166666666667,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.888888888889,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.429602888087,0.324909747292,0.0469314079422,0.0,0.0613718411552,0.0,0.028880866426,0.0685920577617,0.0397111913357
2,1,0.388235294118,0.352941176471,0.0588235294118,0.0,0.0588235294118,0.0,0.0176470588235,0.0705882352941,0.0529411764706
2,2,0.376725838264,0.366863905325,0.0414201183432,0.00197238658777,0.0848126232742,0.0,0.0157790927022,0.0769230769231,0.0355029585799
2,3,0.333333333333,0.444444444444,0.0555555555556,0.0,0.0833333333333,0.0,0.0,0.0555555555556,0.0277777777778
2,4,0.436923076923,0.295384615385,0.04,0.00307692307692,0.0646153846154,0.0,0.0123076923077,0.0676923076923,0.08
2,5,0.363636363636,0.381818181818,0.0363636363636,0.0,0.0363636363636,0.0,0.0181818181818,0.0909090909091,0.0727272727273
