Bowler_name,Balls,Wickets,Economy,CLUSTER
Aaron James Finch,203,6,9.39,3
Aavishkar Madhav Salvi,389,18,8.12,9
Abhimanyu Mithun,834,41,8.26,1
Abhinav Mukund,105,11,5.77,3
Abhishek Arunkumar Jhunjhunwala,121,3,8.52,3
Abhishek Mohan Nayar,553,22,8.35,1
Abhishek Santosh Raut,152,9,8.48,3
Abrar Anjum Kazi,66,2,8.27,3
Abu Nachim Ahmed,1051,48,7.78,6
Adam Charles Voges,542,26,7.94,1
Adam Craig Gilchrist,1,1,0,3
Adam Fraser Milne,1200,64,7.71,6
Adam John Hollioake,385,40,8.02,9
Adam Zampa,1083,64,7,6
Aditya Pradeep Dole,66,5,10.18,3
Adrian Dimitri Mascarenhas,2647,152,7.1,7
Aiden Craig Blizzard,6,0,10,3
Ajinkya Madhukar Rahane,6,1,5,3
Ajit Bhalchandra Agarkar,1172,47,8.23,6
Ajit Chandila,472,24,6.31,9
Akashdeep Deependra Nath,126,8,8,3
Akshar Rajeshbhai Patel,1522,69,6.9,0
Alfonso Clive Thomas,4558,263,7.55,8
Ali Ghulam Murtaza,654,32,6.98,1
Amit Mishra,3569,199,7.03,4
Amit Singh,628,34,7.69,1
Amit Uniyal,60,5,8.8,3
Ammana Ashish Reddy,826,53,7.83,1
Anand Rajan,689,47,6.82,1
Andre Dwayne Russell,3779,201,8.13,4
Andre Nel,1240,37,6.74,6
Andrew Barry McDonald,1470,82,7.7,0
Andrew Flintoff,657,39,7.55,1
Andrew Symonds,1237,52,8.03,6
Angelo Davis Mathews,1933,78,7.27,2
Anil Kumble,1245,57,6.69,6
Ankeet Anil Chavan,476,19,7.97,9
Ankit Nagendra Sharma,799,33,7.32,1
Ankitsingh Rajpoot,439,25,7.28,9
Asadullah Khan Pathan,39,0,9.69,3
Ashish Nehra,2586,146,7.61,7
Ashley Allan Noffke,634,38,7.46,1
Ashok Bhimchandra Dinda,2305,117,7.61,2
Ashok Lakshminarayan Menaria,445,17,6.51,9
Azhar Mahmood Sagar,4825,258,7.63,8
