Batsman_name,avgScore,avgStrikeRate,CLUSTER
RR Bhatkal,9.55,102.38,8
RP Singh,4.32,72.97,5
D Wiese,20.61,150.14,9
GR Napier,15.66,148.33,9
JR Hopes,22.58,124.09,0
NK Patel,34.17,119.17,0
Z Khan,8.9,89.9,2
Harpreet Singh,29.85,113.04,0
KD Karthik,24.06,127.62,7
UBT Chand,22.0,118.8,0
BCJ Cutting,23.22,155.84,9
DNT Zoysa,20.3,118.02,0
RA Jadeja,20.96,121.66,0
Visvajitsinh Dilipsinh Solanki,14.83,136.92,4
B Akhil,17.83,148.61,9
R Shukla,9.83,109.25,8
AUK Pathan,23.42,148.75,9
D Kalyankrishna,2.0,50.0,5
CA Ingram,27.45,133.66,7
Scott Michael Boland,17.0,113.33,8
NL McCullum,16.51,125.91,4
Gurkeerat Singh,21.52,122.98,0
Rajesh Vithal Pawar,2.33,50.0,5
Shrikant Shrihari Mundhe,10.33,118.32,4
FY Fazal,20.36,105.41,8
RV Gomez,23.61,130.48,7
Ranadeb Ranjit Bose,3.5,140.0,4
Shivam Sharma,5.66,94.44,2
MJ Clarke,21.05,108.22,8
Palani Amarnath,1.0,33.33,1
R Sathish,19.05,129.51,4
SB Wagh,13.92,102.84,8
A Nehra,5.3,67.64,5
S Kaushik,0.0,0.0,1
Abrar Anjum Kazi,6.5,144.44,9
AC Voges,31.27,126.05,7
MA Agarwal,22.72,127.16,7
DW Steyn,8.0,114.28,8
MC Henriques,24.39,123.74,0
SM Katich,30.28,126.55,7
T Henderson,20.14,143.06,3
Vijay Shankar,10.58,98.44,2
Trent Alexander Boult,4.14,61.7,5
S Vidyut,20.5,129.74,4
B Sumanth,27.66,122.66,0
I Sharma,9.0,81.81,2
Swapnil Singh,14.88,114.52,8
Shoaib Malik,37.95,122.94,7
KMDN Kulasekara,10.27,122.51,4
Sohail Tanvir,16.28,120.44,4
YV Takawale,29.21,109.44,0
AD Mascarenhas,19.09,127.32,4
Harbhajan Singh,16.55,138.81,4
R Sharma,5.03,98.49,2
R Bishnoi,20.71,149.48,9
ER Dwivedi,37.57,131.28,7
PV Tambe,9.0,53.73,5
Gagandeep Singh Toor,12.0,88.88,2
Saurabh Sushant Bandekar,13.39,103.7,8
Taduri Prakashchandra Sudhindra,12.5,94.93,2
AT Rayudu,24.79,122.4,0
SK Trivedi,5.91,92.2,2
AD Russell,24.55,166.53,9
GD McGrath,3.0,50.0,5
Mohammed Shami,3.66,62.85,5
Anirudh Singh,10.77,89.81,2
YK Pathan,28.41,144.49,3
GB Hogg,14.78,106.58,8
JE Taylor,10.23,108.75,8
Anureet Singh,8.75,81.39,2
SP Fleming,23.14,121.91,0
GC Smith,29.86,123.08,7
JEC Franklin,28.38,124.93,7
V Sehwag,26.89,147.83,3
Pankaj Singh,5.45,69.76,5
KS Williamson,27.01,118.84,0
Imran Tahir,9.07,122.91,4
LPC Silva,24.46,119.98,0
Umar Gul,8.84,105.15,8
A Uniyal,18.0,75.0,2
S Gopal,17.16,117.04,0
JM Kemp,28.45,124.44,7
SK Warne,9.54,92.1,2
CK Langeveldt,10.25,85.41,2
CH Gayle,42.03,150.66,3
GH Vihari,21.02,106.93,8
RR Powar,18.0,102.85,8
SA Yadav,22.26,129.45,7
DJG Sammy,19.77,138.3,3
KK Nair,23.58,122.3,0
Y Gnaneswara Rao,22.57,123.98,0
DP Nannes,8.25,83.54,2
L Ronchi,18.64,139.8,3
PSP Handscomb,27.05,112.19,0
RE Levi,28.16,142.95,3
Yuvraj Singh,26.45,131.05,7
SP Goswami,19.04,94.3,2
B Chipli,21.57,117.35,0
DJ Jacobs,25.89,117.69,0
D du Preez,20.21,130.52,4
F Behardien,29.79,124.28,7
