Batsman_name,avgScore,avgStrikeRate,CLUSTER
Produturi Akshath Reddy,22.8,118.44,0
Shakib Al Hasan,20.84,122.87,0
Aditya Prakash Tare,26.62,127.29,7
Sarul Kanwar,23.52,128.2,7
Angelo Davis Mathews,26.17,121.76,0
Jagadeesha Suchith,13.14,115.0,8
Sudeep Tyagi,5.0,71.42,5
Sunil Bandacharya Joshi,19.5,90.69,2
Jayant Yadav,19.6,115.97,0
Parvinder Awana,4.4,51.16,5
Sunny Singh,23.03,119.32,0
Vangipurappu Venkata Sai Laxman,22.31,114.71,0
Jean-Paul Duminy,38.05,122.28,7
Sachin Ramesh Tendulkar,32.9,121.13,7
Karan Goel,19.97,91.88,2
Patangay Manikrao Sarvesh Kumar,1.0,50.0,5
Mitchell Ross Marsh,29.21,120.26,0
Syed Mohammad Shoaib Ahmed,0.5,16.66,1
Adam Fraser Milne,23.2,124.73,0
Akashdeep Deependra Nath,16.22,109.5,8
Reetinder Singh Sodhi,5.0,81.81,2
Mitchell Guy Johnson,11.2,103.7,8
Mohammad Kaif,22.07,105.97,8
Suresh Kumar Raina,33.12,139.0,3
Ammana Ashish Reddy,14.38,129.56,4
Arindam Nanigopal Ghosh,17.0,100.53,8
Chidambaram Muralidharan Gautam,17.16,108.7,8
Kamran Khan,22.0,122.22,0
Krunal Himashu Pandya,31.07,164.89,9
Pawan Suyal,0.0,0.0,1
Prasanth Parameswaran,7.5,75.0,5
Sunny Suresh Gupta,7.71,103.84,8
Swapnil Ashok Asnodkar,23.5,121.55,0
Kyle John Abbott,13.0,110.16,8
Mahesh Rawat,24.3,116.39,0
Ishank Rajiv Jaggi,29.73,112.83,0
Raju Ravi Bhatkal,9.55,102.38,8
Rudra Pratap Singh,4.32,72.97,5
David Wiese,20.61,150.14,9
Graham Richard Napier,15.66,148.33,9
James Redfern Hopes,22.58,124.09,0
Niraj Kanubhai Patel,34.17,119.17,0
Zaheer Khan,8.9,89.9,2
Harpreet Singh Bhatia,29.85,113.04,0
Krishankumar Dinesh Karthik,24.06,127.62,7
Unmukt Chand,22.0,118.8,0
Benjamin Colin James Cutting,23.22,155.84,9
Demuni Nuwan Tharanga Zoysa,20.3,118.02,0
Ravindrasinh Anirudhsinh Jadeja,20.96,121.66,0
Visvajitsinh Dilipsinh Solanki,14.83,136.92,4
